,notebook,replicate,fitness-advantage,generation,prevalence,annotation
0,gene-selection-inference,8,0.1,0,0,2
1,gene-selection-inference,8,0.1,1,0,2
2,gene-selection-inference,8,0.1,2,0,3
3,gene-selection-inference,8,0.1,3,0,2
4,gene-selection-inference,8,0.1,4,0,2
5,gene-selection-inference,8,0.1,5,0,2
6,gene-selection-inference,8,0.1,6,0,2
7,gene-selection-inference,8,0.1,7,0,2
8,gene-selection-inference,8,0.1,8,0,2
9,gene-selection-inference,8,0.1,9,0,2
10,gene-selection-inference,8,0.1,10,0,2
11,gene-selection-inference,8,0.1,11,0,2
12,gene-selection-inference,8,0.1,12,0,2
13,gene-selection-inference,8,0.1,13,0,2
14,gene-selection-inference,8,0.1,14,0,4
15,gene-selection-inference,8,0.1,15,0,4
16,gene-selection-inference,8,0.1,16,0,4
17,gene-selection-inference,8,0.1,17,0,3
18,gene-selection-inference,8,0.1,18,0,4
19,gene-selection-inference,8,0.1,19,0,4
20,gene-selection-inference,8,0.1,20,0,5
21,gene-selection-inference,8,0.1,21,0,4
22,gene-selection-inference,8,0.1,22,0,5
23,gene-selection-inference,8,0.1,23,0,5
24,gene-selection-inference,8,0.1,24,0,7
25,gene-selection-inference,8,0.1,25,0,8
26,gene-selection-inference,8,0.1,26,0,7
27,gene-selection-inference,8,0.1,27,0,7
28,gene-selection-inference,8,0.1,28,0,7
29,gene-selection-inference,8,0.1,29,0,4
30,gene-selection-inference,8,0.1,30,0,5
31,gene-selection-inference,8,0.1,31,0,5
32,gene-selection-inference,8,0.1,32,0,5
33,gene-selection-inference,8,0.1,33,0,2
34,gene-selection-inference,8,0.1,34,0,2
35,gene-selection-inference,8,0.1,35,0,2
36,gene-selection-inference,8,0.1,36,0,2
37,gene-selection-inference,8,0.1,37,0,2
38,gene-selection-inference,8,0.1,38,0,1
39,gene-selection-inference,8,0.1,39,0,1
40,gene-selection-inference,8,0.1,40,0,1
41,gene-selection-inference,8,0.1,41,0,1
42,gene-selection-inference,8,0.1,42,0,1
43,gene-selection-inference,8,0.1,43,0,1
44,gene-selection-inference,8,0.1,44,0,1
45,gene-selection-inference,8,0.1,45,0,1
46,gene-selection-inference,8,0.1,46,0,2
47,gene-selection-inference,8,0.1,47,0,2
48,gene-selection-inference,8,0.1,48,0,2
49,gene-selection-inference,8,0.1,49,0,4
50,gene-selection-inference,8,0.1,50,0,5
51,gene-selection-inference,8,0.1,51,1,6
52,gene-selection-inference,8,0.1,52,0,7
53,gene-selection-inference,8,0.1,53,1,8
54,gene-selection-inference,8,0.1,54,0,7
55,gene-selection-inference,8,0.1,55,1,9
56,gene-selection-inference,8,0.1,56,0,9
57,gene-selection-inference,8,0.1,57,1,10
58,gene-selection-inference,8,0.1,58,0,7
59,gene-selection-inference,8,0.1,59,1,10
60,gene-selection-inference,8,0.1,60,2,11
61,gene-selection-inference,8,0.1,61,3,10
62,gene-selection-inference,8,0.1,62,2,12
63,gene-selection-inference,8,0.1,63,0,13
64,gene-selection-inference,8,0.1,64,1,15
65,gene-selection-inference,8,0.1,65,4,11
