,notebook,replicate,fitness-advantage,generation,prevalence,annotation
0,gene-selection-inference,7,0.1,0,0,11
1,gene-selection-inference,7,0.1,1,0,11
2,gene-selection-inference,7,0.1,2,0,11
3,gene-selection-inference,7,0.1,3,0,9
4,gene-selection-inference,7,0.1,4,0,3
5,gene-selection-inference,7,0.1,5,0,5
6,gene-selection-inference,7,0.1,6,0,7
7,gene-selection-inference,7,0.1,7,0,7
8,gene-selection-inference,7,0.1,8,0,5
9,gene-selection-inference,7,0.1,9,0,6
10,gene-selection-inference,7,0.1,10,0,6
11,gene-selection-inference,7,0.1,11,0,7
12,gene-selection-inference,7,0.1,12,0,6
13,gene-selection-inference,7,0.1,13,0,8
14,gene-selection-inference,7,0.1,14,0,8
15,gene-selection-inference,7,0.1,15,0,9
16,gene-selection-inference,7,0.1,16,0,9
17,gene-selection-inference,7,0.1,17,0,6
18,gene-selection-inference,7,0.1,18,0,5
19,gene-selection-inference,7,0.1,19,0,7
20,gene-selection-inference,7,0.1,20,0,9
21,gene-selection-inference,7,0.1,21,0,8
22,gene-selection-inference,7,0.1,22,0,2
23,gene-selection-inference,7,0.1,23,0,1
24,gene-selection-inference,7,0.1,24,0,2
25,gene-selection-inference,7,0.1,25,0,2
26,gene-selection-inference,7,0.1,26,0,2
27,gene-selection-inference,7,0.1,27,0,2
28,gene-selection-inference,7,0.1,28,0,2
29,gene-selection-inference,7,0.1,29,0,3
30,gene-selection-inference,7,0.1,30,0,4
31,gene-selection-inference,7,0.1,31,0,4
32,gene-selection-inference,7,0.1,32,0,4
33,gene-selection-inference,7,0.1,33,0,6
34,gene-selection-inference,7,0.1,34,0,6
35,gene-selection-inference,7,0.1,35,0,4
36,gene-selection-inference,7,0.1,36,0,5
37,gene-selection-inference,7,0.1,37,0,6
38,gene-selection-inference,7,0.1,38,0,6
39,gene-selection-inference,7,0.1,39,0,2
40,gene-selection-inference,7,0.1,40,0,3
41,gene-selection-inference,7,0.1,41,0,3
42,gene-selection-inference,7,0.1,42,0,4
43,gene-selection-inference,7,0.1,43,0,4
44,gene-selection-inference,7,0.1,44,0,2
45,gene-selection-inference,7,0.1,45,0,2
46,gene-selection-inference,7,0.1,46,0,2
47,gene-selection-inference,7,0.1,47,0,2
48,gene-selection-inference,7,0.1,48,0,2
49,gene-selection-inference,7,0.1,49,0,2
50,gene-selection-inference,7,0.1,50,0,3
51,gene-selection-inference,7,0.1,51,1,3
52,gene-selection-inference,7,0.1,52,1,3
53,gene-selection-inference,7,0.1,53,2,3
54,gene-selection-inference,7,0.1,54,1,6
55,gene-selection-inference,7,0.1,55,3,7
56,gene-selection-inference,7,0.1,56,8,8
57,gene-selection-inference,7,0.1,57,7,10
58,gene-selection-inference,7,0.1,58,8,6
59,gene-selection-inference,7,0.1,59,11,9
60,gene-selection-inference,7,0.1,60,9,11
61,gene-selection-inference,7,0.1,61,11,13
62,gene-selection-inference,7,0.1,62,13,12
63,gene-selection-inference,7,0.1,63,10,18
64,gene-selection-inference,7,0.1,64,15,27
65,gene-selection-inference,7,0.1,65,15,23
66,gene-selection-inference,7,0.1,66,16,32
67,gene-selection-inference,7,0.1,67,21,36
68,gene-selection-inference,7,0.1,68,26,34
69,gene-selection-inference,7,0.1,69,32,3
70,gene-selection-inference,7,0.1,70,28,3
71,gene-selection-inference,7,0.1,71,38,4
72,gene-selection-inference,7,0.1,72,48,4
73,gene-selection-inference,7,0.1,73,51,5
74,gene-selection-inference,7,0.1,74,77,6
75,gene-selection-inference,7,0.1,75,87,7
76,gene-selection-inference,7,0.1,76,93,11
77,gene-selection-inference,7,0.1,77,104,12
78,gene-selection-inference,7,0.1,78,114,14
79,gene-selection-inference,7,0.1,79,131,17
80,gene-selection-inference,7,0.1,80,140,18
81,gene-selection-inference,7,0.1,81,167,20
82,gene-selection-inference,7,0.1,82,177,4
83,gene-selection-inference,7,0.1,83,190,5
84,gene-selection-inference,7,0.1,84,191,5
85,gene-selection-inference,7,0.1,85,178,5
86,gene-selection-inference,7,0.1,86,192,3
87,gene-selection-inference,7,0.1,87,225,3
88,gene-selection-inference,7,0.1,88,263,3
89,gene-selection-inference,7,0.1,89,279,3
90,gene-selection-inference,7,0.1,90,288,2
91,gene-selection-inference,7,0.1,91,293,2
92,gene-selection-inference,7,0.1,92,306,2
93,gene-selection-inference,7,0.1,93,323,2
94,gene-selection-inference,7,0.1,94,330,2
95,gene-selection-inference,7,0.1,95,340,2
96,gene-selection-inference,7,0.1,96,349,2
97,gene-selection-inference,7,0.1,97,367,3
98,gene-selection-inference,7,0.1,98,372,2
99,gene-selection-inference,7,0.1,99,375,2
100,gene-selection-inference,7,0.1,100,372,3
101,gene-selection-inference,7,0.1,101,374,5
102,gene-selection-inference,7,0.1,102,389,5
103,gene-selection-inference,7,0.1,103,394,7
104,gene-selection-inference,7,0.1,104,387,7
105,gene-selection-inference,7,0.1,105,385,10
106,gene-selection-inference,7,0.1,106,381,11
107,gene-selection-inference,7,0.1,107,386,16
108,gene-selection-inference,7,0.1,108,391,15
109,gene-selection-inference,7,0.1,109,387,16
110,gene-selection-inference,7,0.1,110,382,17
111,gene-selection-inference,7,0.1,111,388,21
112,gene-selection-inference,7,0.1,112,390,6
113,gene-selection-inference,7,0.1,113,395,6
114,gene-selection-inference,7,0.1,114,396,4
115,gene-selection-inference,7,0.1,115,396,4
116,gene-selection-inference,7,0.1,116,398,4
117,gene-selection-inference,7,0.1,117,398,5
118,gene-selection-inference,7,0.1,118,399,2
119,gene-selection-inference,7,0.1,119,400,2
120,gene-selection-inference,7,0.1,120,400,2
121,gene-selection-inference,7,0.1,121,400,3
122,gene-selection-inference,7,0.1,122,400,4
123,gene-selection-inference,7,0.1,123,400,4
124,gene-selection-inference,7,0.1,124,400,5
125,gene-selection-inference,7,0.1,125,400,7
126,gene-selection-inference,7,0.1,126,400,6
127,gene-selection-inference,7,0.1,127,400,5
128,gene-selection-inference,7,0.1,128,400,6
129,gene-selection-inference,7,0.1,129,400,7
130,gene-selection-inference,7,0.1,130,400,8
131,gene-selection-inference,7,0.1,131,400,6
132,gene-selection-inference,7,0.1,132,400,7
133,gene-selection-inference,7,0.1,133,400,4
134,gene-selection-inference,7,0.1,134,400,4
135,gene-selection-inference,7,0.1,135,400,5
136,gene-selection-inference,7,0.1,136,400,5
137,gene-selection-inference,7,0.1,137,400,4
138,gene-selection-inference,7,0.1,138,400,5
139,gene-selection-inference,7,0.1,139,400,5
140,gene-selection-inference,7,0.1,140,400,5
141,gene-selection-inference,7,0.1,141,400,6
142,gene-selection-inference,7,0.1,142,400,5
143,gene-selection-inference,7,0.1,143,400,4
144,gene-selection-inference,7,0.1,144,400,1
145,gene-selection-inference,7,0.1,145,400,1
146,gene-selection-inference,7,0.1,146,400,1
147,gene-selection-inference,7,0.1,147,400,1
148,gene-selection-inference,7,0.1,148,400,1
149,gene-selection-inference,7,0.1,149,400,1
150,gene-selection-inference,7,0.1,150,400,1
151,gene-selection-inference,7,0.1,151,400,1
152,gene-selection-inference,7,0.1,152,400,1
153,gene-selection-inference,7,0.1,153,400,1
154,gene-selection-inference,7,0.1,154,400,1
155,gene-selection-inference,7,0.1,155,400,1
156,gene-selection-inference,7,0.1,156,400,1
157,gene-selection-inference,7,0.1,157,400,1
158,gene-selection-inference,7,0.1,158,400,1
159,gene-selection-inference,7,0.1,159,400,1
160,gene-selection-inference,7,0.1,160,400,1
161,gene-selection-inference,7,0.1,161,400,1
162,gene-selection-inference,7,0.1,162,400,1
163,gene-selection-inference,7,0.1,163,400,1
164,gene-selection-inference,7,0.1,164,400,1
165,gene-selection-inference,7,0.1,165,400,1
166,gene-selection-inference,7,0.1,166,400,1
167,gene-selection-inference,7,0.1,167,400,1
168,gene-selection-inference,7,0.1,168,400,1
169,gene-selection-inference,7,0.1,169,400,1
170,gene-selection-inference,7,0.1,170,400,1
171,gene-selection-inference,7,0.1,171,400,1
172,gene-selection-inference,7,0.1,172,400,1
173,gene-selection-inference,7,0.1,173,400,1
174,gene-selection-inference,7,0.1,174,400,1
175,gene-selection-inference,7,0.1,175,400,1
176,gene-selection-inference,7,0.1,176,400,1
177,gene-selection-inference,7,0.1,177,400,1
178,gene-selection-inference,7,0.1,178,400,1
179,gene-selection-inference,7,0.1,179,400,1
180,gene-selection-inference,7,0.1,180,400,1
181,gene-selection-inference,7,0.1,181,400,1
182,gene-selection-inference,7,0.1,182,400,1
183,gene-selection-inference,7,0.1,183,400,1
184,gene-selection-inference,7,0.1,184,400,1
185,gene-selection-inference,7,0.1,185,400,1
186,gene-selection-inference,7,0.1,186,400,2
187,gene-selection-inference,7,0.1,187,400,0
188,gene-selection-inference,7,0.1,188,400,0
189,gene-selection-inference,7,0.1,189,400,0
190,gene-selection-inference,7,0.1,190,400,0
191,gene-selection-inference,7,0.1,191,400,0
192,gene-selection-inference,7,0.1,192,400,0
193,gene-selection-inference,7,0.1,193,400,0
194,gene-selection-inference,7,0.1,194,400,0
195,gene-selection-inference,7,0.1,195,400,0
196,gene-selection-inference,7,0.1,196,400,0
197,gene-selection-inference,7,0.1,197,400,0
198,gene-selection-inference,7,0.1,198,400,0
199,gene-selection-inference,7,0.1,199,400,0
