,notebook,replicate,fitness-advantage,generation,prevalence,annotation
0,gene-selection-inference,7,0.0,0,0,11
1,gene-selection-inference,7,0.0,1,0,11
2,gene-selection-inference,7,0.0,2,0,11
3,gene-selection-inference,7,0.0,3,0,9
4,gene-selection-inference,7,0.0,4,0,3
5,gene-selection-inference,7,0.0,5,0,5
6,gene-selection-inference,7,0.0,6,0,7
7,gene-selection-inference,7,0.0,7,0,7
8,gene-selection-inference,7,0.0,8,0,5
9,gene-selection-inference,7,0.0,9,0,6
10,gene-selection-inference,7,0.0,10,0,6
11,gene-selection-inference,7,0.0,11,0,7
12,gene-selection-inference,7,0.0,12,0,6
13,gene-selection-inference,7,0.0,13,0,8
14,gene-selection-inference,7,0.0,14,0,8
15,gene-selection-inference,7,0.0,15,0,9
16,gene-selection-inference,7,0.0,16,0,9
17,gene-selection-inference,7,0.0,17,0,6
18,gene-selection-inference,7,0.0,18,0,5
19,gene-selection-inference,7,0.0,19,0,6
20,gene-selection-inference,7,0.0,20,0,7
21,gene-selection-inference,7,0.0,21,0,7
22,gene-selection-inference,7,0.0,22,0,2
23,gene-selection-inference,7,0.0,23,0,1
24,gene-selection-inference,7,0.0,24,0,1
25,gene-selection-inference,7,0.0,25,0,2
26,gene-selection-inference,7,0.0,26,0,2
27,gene-selection-inference,7,0.0,27,0,2
28,gene-selection-inference,7,0.0,28,0,2
29,gene-selection-inference,7,0.0,29,0,2
30,gene-selection-inference,7,0.0,30,0,3
31,gene-selection-inference,7,0.0,31,0,2
32,gene-selection-inference,7,0.0,32,0,3
33,gene-selection-inference,7,0.0,33,0,2
34,gene-selection-inference,7,0.0,34,0,2
35,gene-selection-inference,7,0.0,35,0,2
36,gene-selection-inference,7,0.0,36,0,2
37,gene-selection-inference,7,0.0,37,0,3
38,gene-selection-inference,7,0.0,38,0,2
39,gene-selection-inference,7,0.0,39,0,3
40,gene-selection-inference,7,0.0,40,0,2
41,gene-selection-inference,7,0.0,41,0,2
42,gene-selection-inference,7,0.0,42,0,2
43,gene-selection-inference,7,0.0,43,0,2
44,gene-selection-inference,7,0.0,44,0,1
45,gene-selection-inference,7,0.0,45,0,1
46,gene-selection-inference,7,0.0,46,0,1
47,gene-selection-inference,7,0.0,47,0,1
48,gene-selection-inference,7,0.0,48,0,1
49,gene-selection-inference,7,0.0,49,0,1
50,gene-selection-inference,7,0.0,50,0,1
51,gene-selection-inference,7,0.0,51,1,1
52,gene-selection-inference,7,0.0,52,1,1
53,gene-selection-inference,7,0.0,53,2,2
54,gene-selection-inference,7,0.0,54,1,2
55,gene-selection-inference,7,0.0,55,1,2
56,gene-selection-inference,7,0.0,56,1,3
57,gene-selection-inference,7,0.0,57,1,3
58,gene-selection-inference,7,0.0,58,1,2
59,gene-selection-inference,7,0.0,59,1,2
60,gene-selection-inference,7,0.0,60,3,3
61,gene-selection-inference,7,0.0,61,1,5
62,gene-selection-inference,7,0.0,62,1,6
63,gene-selection-inference,7,0.0,63,1,7
64,gene-selection-inference,7,0.0,64,1,9
65,gene-selection-inference,7,0.0,65,1,9
66,gene-selection-inference,7,0.0,66,1,9
67,gene-selection-inference,7,0.0,67,1,7
68,gene-selection-inference,7,0.0,68,1,9
69,gene-selection-inference,7,0.0,69,2,10
70,gene-selection-inference,7,0.0,70,1,11
71,gene-selection-inference,7,0.0,71,1,2
72,gene-selection-inference,7,0.0,72,2,2
73,gene-selection-inference,7,0.0,73,2,2
74,gene-selection-inference,7,0.0,74,1,2
75,gene-selection-inference,7,0.0,75,2,2
76,gene-selection-inference,7,0.0,76,1,2
77,gene-selection-inference,7,0.0,77,2,2
78,gene-selection-inference,7,0.0,78,6,1
79,gene-selection-inference,7,0.0,79,5,1
80,gene-selection-inference,7,0.0,80,4,1
81,gene-selection-inference,7,0.0,81,4,1
82,gene-selection-inference,7,0.0,82,1,1
83,gene-selection-inference,7,0.0,83,1,2
84,gene-selection-inference,7,0.0,84,1,2
85,gene-selection-inference,7,0.0,85,1,2
86,gene-selection-inference,7,0.0,86,1,2
87,gene-selection-inference,7,0.0,87,1,2
88,gene-selection-inference,7,0.0,88,1,2
89,gene-selection-inference,7,0.0,89,2,2
90,gene-selection-inference,7,0.0,90,2,2
91,gene-selection-inference,7,0.0,91,5,2
92,gene-selection-inference,7,0.0,92,5,2
93,gene-selection-inference,7,0.0,93,4,2
94,gene-selection-inference,7,0.0,94,4,2
95,gene-selection-inference,7,0.0,95,6,2
96,gene-selection-inference,7,0.0,96,1,2
97,gene-selection-inference,7,0.0,97,1,3
98,gene-selection-inference,7,0.0,98,1,2
99,gene-selection-inference,7,0.0,99,1,2
100,gene-selection-inference,7,0.0,100,1,3
101,gene-selection-inference,7,0.0,101,1,4
102,gene-selection-inference,7,0.0,102,2,4
103,gene-selection-inference,7,0.0,103,1,5
104,gene-selection-inference,7,0.0,104,1,5
105,gene-selection-inference,7,0.0,105,3,7
106,gene-selection-inference,7,0.0,106,1,8
107,gene-selection-inference,7,0.0,107,1,11
108,gene-selection-inference,7,0.0,108,2,11
109,gene-selection-inference,7,0.0,109,5,12
110,gene-selection-inference,7,0.0,110,3,14
111,gene-selection-inference,7,0.0,111,1,12
112,gene-selection-inference,7,0.0,112,1,6
113,gene-selection-inference,7,0.0,113,1,6
114,gene-selection-inference,7,0.0,114,2,4
115,gene-selection-inference,7,0.0,115,2,4
116,gene-selection-inference,7,0.0,116,5,4
117,gene-selection-inference,7,0.0,117,5,5
118,gene-selection-inference,7,0.0,118,5,2
119,gene-selection-inference,7,0.0,119,3,2
120,gene-selection-inference,7,0.0,120,5,2
121,gene-selection-inference,7,0.0,121,2,3
122,gene-selection-inference,7,0.0,122,2,4
123,gene-selection-inference,7,0.0,123,1,4
124,gene-selection-inference,7,0.0,124,1,5
125,gene-selection-inference,7,0.0,125,1,7
126,gene-selection-inference,7,0.0,126,2,6
127,gene-selection-inference,7,0.0,127,1,5
128,gene-selection-inference,7,0.0,128,1,6
129,gene-selection-inference,7,0.0,129,1,7
130,gene-selection-inference,7,0.0,130,1,8
131,gene-selection-inference,7,0.0,131,1,6
132,gene-selection-inference,7,0.0,132,1,7
133,gene-selection-inference,7,0.0,133,3,4
134,gene-selection-inference,7,0.0,134,2,4
135,gene-selection-inference,7,0.0,135,1,5
136,gene-selection-inference,7,0.0,136,1,5
137,gene-selection-inference,7,0.0,137,1,4
138,gene-selection-inference,7,0.0,138,2,5
139,gene-selection-inference,7,0.0,139,1,5
140,gene-selection-inference,7,0.0,140,1,5
141,gene-selection-inference,7,0.0,141,1,6
142,gene-selection-inference,7,0.0,142,2,5
143,gene-selection-inference,7,0.0,143,1,4
144,gene-selection-inference,7,0.0,144,3,1
145,gene-selection-inference,7,0.0,145,6,1
146,gene-selection-inference,7,0.0,146,8,1
147,gene-selection-inference,7,0.0,147,8,1
148,gene-selection-inference,7,0.0,148,7,1
149,gene-selection-inference,7,0.0,149,12,1
150,gene-selection-inference,7,0.0,150,18,1
151,gene-selection-inference,7,0.0,151,17,1
152,gene-selection-inference,7,0.0,152,19,1
153,gene-selection-inference,7,0.0,153,14,1
154,gene-selection-inference,7,0.0,154,16,1
155,gene-selection-inference,7,0.0,155,11,1
156,gene-selection-inference,7,0.0,156,10,1
157,gene-selection-inference,7,0.0,157,9,1
158,gene-selection-inference,7,0.0,158,5,1
159,gene-selection-inference,7,0.0,159,4,1
160,gene-selection-inference,7,0.0,160,2,1
161,gene-selection-inference,7,0.0,161,4,1
162,gene-selection-inference,7,0.0,162,2,1
163,gene-selection-inference,7,0.0,163,1,1
164,gene-selection-inference,7,0.0,164,1,1
165,gene-selection-inference,7,0.0,165,1,1
166,gene-selection-inference,7,0.0,166,1,1
167,gene-selection-inference,7,0.0,167,1,1
168,gene-selection-inference,7,0.0,168,2,1
169,gene-selection-inference,7,0.0,169,1,1
170,gene-selection-inference,7,0.0,170,1,1
171,gene-selection-inference,7,0.0,171,1,1
172,gene-selection-inference,7,0.0,172,2,1
173,gene-selection-inference,7,0.0,173,1,1
174,gene-selection-inference,7,0.0,174,2,1
175,gene-selection-inference,7,0.0,175,2,1
176,gene-selection-inference,7,0.0,176,1,1
177,gene-selection-inference,7,0.0,177,1,1
178,gene-selection-inference,7,0.0,178,1,1
179,gene-selection-inference,7,0.0,179,1,1
180,gene-selection-inference,7,0.0,180,1,1
181,gene-selection-inference,7,0.0,181,2,1
182,gene-selection-inference,7,0.0,182,2,1
183,gene-selection-inference,7,0.0,183,2,1
184,gene-selection-inference,7,0.0,184,4,1
185,gene-selection-inference,7,0.0,185,4,1
186,gene-selection-inference,7,0.0,186,8,2
187,gene-selection-inference,7,0.0,187,6,0
188,gene-selection-inference,7,0.0,188,12,0
189,gene-selection-inference,7,0.0,189,9,0
190,gene-selection-inference,7,0.0,190,5,0
191,gene-selection-inference,7,0.0,191,5,0
192,gene-selection-inference,7,0.0,192,5,0
193,gene-selection-inference,7,0.0,193,10,0
194,gene-selection-inference,7,0.0,194,9,0
195,gene-selection-inference,7,0.0,195,5,0
196,gene-selection-inference,7,0.0,196,7,0
197,gene-selection-inference,7,0.0,197,7,0
198,gene-selection-inference,7,0.0,198,8,0
199,gene-selection-inference,7,0.0,199,5,0
